"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 05 07:25:52 UTC 2022","Mon Sep 05 07:26:09 UTC 2022","16614","","Login Functionality","","","","Should login with invalid email credentials read data from fixture",""
"passed","Mon Sep 05 07:26:09 UTC 2022","Mon Sep 05 07:26:30 UTC 2022","20669","","Login Functionality","","","","Should login with invalid password credentials read data from fixture",""
"passed","Mon Sep 05 07:26:30 UTC 2022","Mon Sep 05 07:26:44 UTC 2022","13923","","Login Functionality","","","","Should login with wrong email format credentials read data from fixture",""
"passed","Mon Sep 05 07:24:57 UTC 2022","Mon Sep 05 07:25:52 UTC 2022","55058","","Login Functionality","","","","Should login with valid credentials read data from fixture",""
